"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"24.02.2021","2,67","2,65","2,73","2,63","16,30M","1,91%"
"23.02.2021","2,62","2,55","2,65","2,52","7,78M","3,97%"
"22.02.2021","2,52","2,58","2,59","2,51","13,22M","-3,82%"
"19.02.2021","2,62","2,64","2,66","2,57","14,82M","-0,38%"
"18.02.2021","2,63","2,68","2,70","2,61","9,70M","-1,13%"
"17.02.2021","2,66","2,75","2,76","2,64","11,96M","-2,92%"
"12.02.2021","2,74","2,75","2,76","2,71","5,18M","0,00%"
"11.02.2021","2,74","2,78","2,81","2,72","6,81M","-0,72%"
"10.02.2021","2,76","2,81","2,82","2,73","7,94M","-1,43%"
"09.02.2021","2,80","2,83","2,85","2,78","10,23M","-1,06%"
"08.02.2021","2,83","2,90","2,91","2,83","11,65M","-2,41%"
"05.02.2021","2,90","2,95","2,96","2,87","11,35M","-0,68%"
"04.02.2021","2,92","3,05","3,07","2,92","11,95M","-3,95%"
"03.02.2021","3,04","3,05","3,10","3,03","7,76M","-0,65%"
"02.02.2021","3,06","2,97","3,08","2,97","8,28M","3,38%"
"01.02.2021","2,96","2,95","2,98","2,88","8,65M","1,72%"
"29.01.2021","2,91","3,01","3,02","2,86","8,65M","-3,96%"
"28.01.2021","3,03","2,90","3,06","2,89","9,28M","4,12%"
"27.01.2021","2,91","2,85","2,94","2,82","10,48M","2,11%"
"26.01.2021","2,85","2,87","2,91","2,84","8,15M","-0,70%"
"22.01.2021","2,87","2,87","2,94","2,81","7,93M","-0,35%"
"21.01.2021","2,88","3,02","3,03","2,88","12,55M","-4,64%"
"20.01.2021","3,02","3,05","3,12","2,99","8,76M","-0,33%"
"19.01.2021","3,03","3,14","3,15","3,01","8,96M","-2,88%"
"18.01.2021","3,12","3,26","3,28","3,12","7,51M","-3,70%"
"15.01.2021","3,24","3,33","3,34","3,22","9,80M","-3,28%"
"14.01.2021","3,35","3,22","3,37","3,20","14,19M","4,36%"
"13.01.2021","3,21","3,19","3,28","3,16","12,21M","0,00%"
"12.01.2021","3,21","3,23","3,29","3,13","16,10M","-0,62%"
"11.01.2021","3,23","3,03","3,23","2,97","23,24M","5,90%"
"08.01.2021","3,05","2,86","3,08","2,86","19,46M","7,02%"
"07.01.2021","2,85","2,90","2,91","2,84","5,79M","-0,35%"
"06.01.2021","2,86","2,85","2,91","2,81","6,94M","0,70%"
"05.01.2021","2,84","2,88","2,89","2,82","5,52M","-1,73%"
"04.01.2021","2,89","2,91","2,94","2,84","6,04M","0,70%"
"30.12.2020","2,87","2,94","2,96","2,87","4,01M","-2,71%"
"29.12.2020","2,95","2,86","2,95","2,85","5,72M","2,79%"
"28.12.2020","2,87","2,83","2,87","2,81","8,69M","1,77%"
"23.12.2020","2,82","2,76","2,83","2,74","8,37M","1,81%"
"22.12.2020","2,77","2,85","2,88","2,72","13,97M","-2,12%"
"21.12.2020","2,83","2,85","2,90","2,80","11,36M","-2,75%"
"18.12.2020","2,91","2,91","2,94","2,84","9,85M","0,34%"
"17.12.2020","2,90","2,95","3,04","2,90","15,23M","-0,68%"
"16.12.2020","2,92","2,88","2,93","2,85","8,57M","1,74%"
"15.12.2020","2,87","2,89","2,89","2,82","7,33M","0,00%"
"14.12.2020","2,87","2,94","2,96","2,86","8,51M","-1,71%"
"11.12.2020","2,92","2,89","2,95","2,88","3,70M","-0,34%"
"10.12.2020","2,93","2,95","2,96","2,81","11,77M","-0,34%"
"09.12.2020","2,94","3,03","3,04","2,91","7,74M","-2,97%"
"08.12.2020","3,03","2,99","3,07","2,96","6,90M","1,68%"
"07.12.2020","2,98","3,02","3,09","2,93","9,19M","-1,32%"
"04.12.2020","3,02","3,02","3,04","2,98","11,49M","1,00%"
"03.12.2020","2,99","2,94","3,02","2,89","17,10M","1,70%"
"02.12.2020","2,94","2,87","2,95","2,84","11,77M","2,44%"
"01.12.2020","2,87","2,81","2,87","2,79","5,85M","3,24%"
"30.11.2020","2,78","2,84","2,85","2,74","9,75M","-2,11%"
"27.11.2020","2,84","2,85","2,87","2,83","5,60M","-0,35%"
"26.11.2020","2,85","2,87","2,87","2,81","4,07M","-0,70%"
"25.11.2020","2,87","2,73","2,88","2,72","15,47M","4,74%"
"24.11.2020","2,74","2,69","2,75","2,67","7,52M","1,11%"
"23.11.2020","2,71","2,73","2,75","2,69","6,16M","0,00%"
"20.11.2020","2,71","2,71","2,74","2,69","3,58M","0,37%"
"19.11.2020","2,70","2,73","2,75","2,70","6,43M","-1,10%"
"18.11.2020","2,73","2,77","2,79","2,71","5,50M","-1,09%"
"17.11.2020","2,76","2,75","2,79","2,72","8,53M","-0,36%"
"16.11.2020","2,77","2,79","2,80","2,69","7,15M","0,00%"
"13.11.2020","2,77","2,59","2,77","2,59","10,91M","7,78%"
"12.11.2020","2,57","2,74","2,75","2,56","11,23M","-5,86%"
"11.11.2020","2,73","2,80","2,81","2,73","5,50M","-2,15%"
"10.11.2020","2,79","2,68","2,82","2,64","13,90M","4,89%"
"09.11.2020","2,66","2,73","2,75","2,63","8,08M","0,00%"
"06.11.2020","2,66","2,55","2,67","2,52","8,76M","3,10%"
"05.11.2020","2,58","2,52","2,59","2,46","9,91M","3,20%"
"04.11.2020","2,50","2,47","2,50","2,39","11,43M","2,88%"
"03.11.2020","2,43","2,49","2,57","2,43","9,07M","-0,82%"
"30.10.2020","2,45","2,49","2,51","2,39","8,63M","-1,61%"
"29.10.2020","2,49","2,50","2,55","2,39","9,27M","0,40%"
"28.10.2020","2,48","2,58","2,59","2,46","9,43M","-4,98%"
"27.10.2020","2,61","2,66","2,67","2,60","9,27M","-1,88%"
"26.10.2020","2,66","2,69","2,71","2,63","6,05M","-1,48%"
"23.10.2020","2,70","2,73","2,73","2,67","5,17M","-0,74%"
"22.10.2020","2,72","2,77","2,77","2,71","7,79M","-1,45%"
"21.10.2020","2,76","2,80","2,81","2,75","4,97M","-1,08%"
"20.10.2020","2,79","2,81","2,82","2,76","4,74M","0,00%"
"19.10.2020","2,79","2,81","2,85","2,77","4,82M","0,00%"
"16.10.2020","2,79","2,83","2,84","2,78","2,98M","-1,41%"
